"Mark","Name","Location","Year","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Mileage","Engine","Power","Seats","Price"
"Audi","Audi Q5 2008-2012 3.0 TDI","Chennai",2014,25000,"Diesel","Automatic","First",12.19,2967,236,5,44
"Mercedes-Benz","Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury","Bangalore",2014,52000,"Diesel","Automatic","First",12,2987,224,7,49
"Mini","Mini Cooper 3 DOOR D","Mumbai",2016,20000,"Diesel","Automatic","First",20.7,1496,113.98,4,23.5
"Mercedes-Benz","Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance","Coimbatore",2016,38730,"Diesel","Automatic","First",14.21,2143,203,5,29.98
"Audi","Audi Q7 35 TDI Quattro Technology","Bangalore",2015,21000,"Diesel","Automatic","First",12.07,2967,241.4,7,48
"Land","Land Rover Discovery Sport TD4 HSE 7S","Mumbai",2017,40000,"Diesel","Automatic","First",12.81,1999,148.31,7,41.5
"Volkswagen","Volkswagen Tiguan 2.0 TDI Highline","Jaipur",2017,50510,"Diesel","Automatic","First",17.06,1968,141,5,24.9
"Mercedes-Benz","Mercedes-Benz E-Class E250 CDI Avantgrade","Mumbai",2014,46000,"Diesel","Automatic","First",13,2143,201.1,5,23.25
"Audi","Audi Q7 45 TDI Quattro Premium Plus","Kochi",2019,6773,"Diesel","Automatic","First",14.75,2967,245,7,72.94
"BMW","BMW X1 M Sport sDrive 20d","Kochi",2017,32838,"Diesel","Automatic","First",17.05,1995,190,5,30.29
"Audi","Audi A4 35 TDI Premium","Coimbatore",2016,68193,"Diesel","Automatic","First",17.11,1968,174.33,5,24.74
"Mercedes-Benz","Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury","Delhi",2013,46000,"Diesel","Automatic","First",12,2987,224,7,36
"Jaguar","Jaguar XE 2.0L Diesel Prestige","Hyderabad",2017,4000,"Diesel","Automatic","First",13.6,1999,177,5,38
"Mercedes-Benz","Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde","Mumbai",2014,52000,"Diesel","Automatic","First",13,2143,204,5,24.5
"Audi","Audi Q5 3.0 TDI Quattro Technology","Mumbai",2015,11964,"Diesel","Automatic","First",13.22,2967,241.4,5,32.95
"Mercedes-Benz","Mercedes-Benz New C-Class C 220 CDI Elegance AT","Coimbatore",2017,32642,"Diesel","Automatic","First",14.84,2143,170,5,34.78
"BMW","BMW 5 Series 520d Luxury Line","Kochi",2018,32586,"Diesel","Automatic","First",22.48,1995,190,5,37.3
"Mercedes-Benz","Mercedes-Benz GLE 350d","Coimbatore",2018,40129,"Diesel","Automatic","First",11.57,2987,254.79,5,70.8
"Mercedes-Benz","Mercedes-Benz M-Class ML 350 CDI","Mumbai",2012,51000,"Diesel","Automatic","First",11.74,2987,254.8,5,22.25
"BMW","BMW 3 Series 320d GT Luxury Line","Mumbai",2015,32500,"Diesel","Automatic","First",19.59,1995,187.74,5,26.75
"Audi","Audi Q3 35 TDI Quattro Premium Plus","Coimbatore",2016,58661,"Diesel","Automatic","First",15.17,1968,181,5,28.03
"Ford","Ford Endeavour 3.2 Titanium AT 4X4","Delhi",2017,38000,"Diesel","Automatic","First",10.91,3198,197,7,30.48
"BMW","BMW X6 xDrive 40d","Hyderabad",2013,58000,"Diesel","Automatic","First",11.2,2993,306,4,48
"Porsche","Porsche Cayenne Diesel","Mumbai",2013,70000,"Diesel","Automatic","First",15.15,2967,240,5,40
"BMW","BMW 5 Series 2013-2017 520d Luxury Line","Coimbatore",2016,63111,"Diesel","Automatic","Second",18.12,1995,190,5,30.8
"Mercedes-Benz","Mercedes-Benz M-Class ML 350 4Matic","Pune",2015,69000,"Diesel","Automatic","First",13.51,2987,165,5,38
"Mercedes-Benz","Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance","Bangalore",2013,29000,"Diesel","Automatic","First",14.21,2143,203,5,29
"Audi","Audi A4 2.0 TDI 177 Bhp Premium Plus","Bangalore",2014,21000,"Diesel","Automatic","First",17.11,1968,174.33,5,24.5
"Mercedes-Benz","Mercedes-Benz M-Class ML 350 CDI","Hyderabad",2012,83000,"Diesel","Automatic","First",11.74,2987,254.8,5,36
"Audi","Audi Q5 2.0 TDI","Hyderabad",2015,56000,"Diesel","Automatic","First",14.16,1968,174.3,5,35
"BMW","BMW X1 xDrive 20d xLine","Mumbai",2016,7000,"Diesel","Automatic","First",20.68,1995,190,5,27.75
"Mercedes-Benz","Mercedes-Benz GLE 350d","Coimbatore",2017,33552,"Diesel","Automatic","First",11.57,2987,254.79,5,64.87
"BMW","BMW 5 Series 2013-2017 520d Luxury Line","Jaipur",2017,19543,"Diesel","Automatic","First",18.12,1995,190,5,40.5
"Audi","Audi Q5 30 TDI quattro Premium Plus","Bangalore",2014,38000,"Diesel","Automatic","Second",14.16,1968,174.3,5,38.95
"Mercedes-Benz","Mercedes-Benz GLS 350d Grand Edition","Delhi",2018,6000,"Diesel","Automatic","First",11,2987,258,7,79
"Audi","Audi A7 2011-2015 3.0 TDI Quattro","Kochi",2014,60336,"Diesel","Automatic","Second",14.4,2967,241.4,5,24.94
"Toyota","Toyota Fortuner 2.8 2WD AT","Ahmedabad",2017,15000,"Diesel","Automatic","First",12.9,2755,174.5,7,30
"Audi","Audi A6 2011-2015 2.0 TDI","Kochi",2014,62012,"Diesel","Automatic","First",17.68,1968,174.33,5,20.12
"BMW","BMW 5 Series 2013-2017 530d M Sport","Coimbatore",2017,27313,"Diesel","Automatic","First",14.69,2993,258,5,48.63
"Audi","Audi Q5 30 TDI quattro Premium Plus","Coimbatore",2015,42747,"Diesel","Automatic","Second",14.16,1968,174.3,5,39.47
"BMW","BMW X1 sDrive 20d xLine","Coimbatore",2015,42265,"Diesel","Automatic","Second",20.68,1995,190,5,22.24
"BMW","BMW X5 xDrive 30d","Mumbai",2012,66000,"Diesel","Automatic","First",15.3,2993,258,5,21
"Mercedes-Benz","Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde","Mumbai",2013,45200,"Diesel","Automatic","First",10,2148,170,5,23
"Mercedes-Benz","Mercedes-Benz New C-Class 220 CDI AT","Coimbatore",2017,32324,"Diesel","Automatic","First",14.84,2143,170,5,30.5
"Audi","Audi A3 35 TDI Technology","Delhi",2017,22000,"Diesel","Automatic","Second",20.38,1968,143,5,22.5
"Mercedes-Benz","Mercedes-Benz GLA Class 200 d Sport","Pune",2017,35000,"Diesel","Automatic","First",17.9,2143,136,5,23.5
"Toyota","Toyota Fortuner 4x4 AT","Kochi",2018,37713,"Diesel","Automatic","Second",12.55,2982,168.5,7,31.62
"BMW","BMW 7 Series 740Li","Coimbatore",2018,28060,"Petrol","Automatic","First",12.05,2979,320,5,93.67
"Mercedes-Benz","Mercedes-Benz New C-Class C 220 CDI Elegance AT","Hyderabad",2013,21000,"Diesel","Automatic","First",14.84,2143,170,5,23.5
"BMW","BMW 7 Series 740Li","Bangalore",2017,17465,"Petrol","Automatic","First",12.05,2979,320,5,93
"BMW","BMW 3 Series 320d Sport","Chennai",2014,48000,"Diesel","Automatic","First",22.69,1995,190,5,21.6
"Mercedes-Benz","Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury","Pune",2014,79000,"Diesel","Automatic","First",12,2987,224,7,41
"BMW","BMW X1 sDrive 20d xLine","Bangalore",2016,28143,"Diesel","Automatic","First",20.68,1995,190,5,28.5
"Jaguar","Jaguar XF 2.2 Litre Luxury","Mumbai",2013,31400,"Diesel","Automatic","First",16.36,2179,187.7,5,26.75
"Audi","Audi Q5 2008-2012 2.0 TDI","Bangalore",2011,53000,"Diesel","Automatic","First",12.8,1968,167.6,5,23
"Mercedes-Benz","Mercedes-Benz E-Class 2009-2013 E 200 CGI Elegance","Bangalore",2011,25000,"Petrol","Automatic","Second",12.3,1796,185,5,22
"BMW","BMW 7 Series 730Ld Eminence","Kochi",2015,29966,"Diesel","Automatic","Second",16.77,2993,261.49,5,43.6
"Audi","Audi A4 2.0 TDI 177 Bhp Technology Edition","Bangalore",2014,24000,"Diesel","Automatic","First",17.11,1968,174.33,5,25
"Mini","Mini Cooper 5 DOOR D","Hyderabad",2017,2000,"Diesel","Automatic","First",20.7,1496,113.98,5,34
"BMW","BMW X3 xDrive20d Expedition","Bangalore",2015,65000,"Diesel","Automatic","Second",18.56,1995,190,5,29
"BMW","BMW 6 Series 640d Coupe","Mumbai",2013,30000,"Diesel","Automatic","First",9.52,2993,313,4,45
"Mercedes-Benz","Mercedes-Benz SLC 43 AMG","Coimbatore",2019,2526,"Petrol","Automatic","First",19,2996,362.07,2,83.96
"Mercedes-Benz","Mercedes-Benz E-Class E 220 d","Hyderabad",2013,85000,"Diesel","Automatic","First",16.1,1950,194,5,21
"Porsche","Porsche Cayenne Turbo S","Mumbai",2010,35000,"Petrol","Automatic","Second",11.9,4806,550,5,32
"Toyota","Toyota Fortuner 4x2 MT TRD Sportivo","Hyderabad",2015,19317,"Diesel","Manual","First",13,2982,168.7,7,24.5
"Mercedes-Benz","Mercedes-Benz GLE 250d","Kochi",2017,25601,"Diesel","Automatic","First",17.9,2143,201.15,5,56.73
"Audi","Audi A4 35 TDI Premium","Hyderabad",2015,50000,"Diesel","Automatic","First",17.11,1968,174.33,5,25
"Mercedes-Benz","Mercedes-Benz New C-Class C 220d Avantgarde Edition C","Coimbatore",2018,24465,"Diesel","Automatic","First",19.27,2143,167.62,5,39.45
"Audi","Audi Q7 3.0 TDI Quattro Technology","Hyderabad",2012,88000,"Diesel","Automatic","First",12.07,2967,241.4,7,36.5
"Toyota","Toyota Fortuner 2.8 2WD AT","Pune",2017,29000,"Diesel","Automatic","First",12.9,2755,174.5,7,31
"Land","Land Rover Range Rover Evoque 2.0 TD4 Pure","Kochi",2016,29022,"Diesel","Automatic","Second",15.68,1999,177,5,34.08
"Ford","Ford Endeavour 2.2 Titanium AT 4X2","Hyderabad",2018,14000,"Diesel","Automatic","First",12.62,2198,158,7,31.99
"Mercedes-Benz","Mercedes-Benz New C-Class C 250 CDI Avantgarde","Mumbai",2017,14470,"Diesel","Automatic","First",19.71,2143,201.15,5,38.5
"Jaguar","Jaguar XF 2.2 Litre Luxury","Kochi",2016,13418,"Diesel","Automatic","First",16.36,2179,187.7,5,33.63
"Audi","Audi A6 2011-2015 2.0 TDI Premium Plus","Coimbatore",2014,66882,"Diesel","Automatic","First",17.68,1968,174.33,5,25.02
"Land","Land Rover Discovery HSE Luxury 3.0 TD6","Mumbai",2017,35000,"Diesel","Automatic","First",18,2993,255,7,41.6
"Toyota","Toyota Fortuner 2.8 4WD MT","Bangalore",2015,150386,"Diesel","Manual","First",14.24,2755,174.5,7,23
"Mercedes-Benz","Mercedes-Benz E-Class E250 CDI Launch Edition","Kochi",2016,46936,"Diesel","Automatic","First",13,2143,204,5,29.6
"Volvo","Volvo S60 D4 SUMMUM","Coimbatore",2016,42259,"Diesel","Automatic","First",9,1984,181,5,24.36
"Toyota","Toyota Camry Hybrid","Delhi",2015,25000,"Petrol","Automatic","First",19.16,2494,158.2,5,25
"BMW","BMW 5 Series 2013-2017 520d M Sport","Pune",2018,7000,"Diesel","Automatic","First",18.12,1995,190,5,46
"Toyota","Toyota Fortuner 4x2 Manual","Hyderabad",2015,73500,"Diesel","Manual","First",13,2982,168.5,7,22
"Toyota","Toyota Innova Crysta 2.8 ZX AT","Hyderabad",2017,35358,"Diesel","Automatic","First",11.36,2755,171.5,7,22.99
"Audi","Audi A4 2.0 TDI","Hyderabad",2014,60000,"Diesel","Automatic","First",16.55,1968,147.51,5,24
"Mercedes-Benz","Mercedes-Benz M-Class ML 250 CDI","Mumbai",2016,52000,"Diesel","Automatic","First",15.26,2143,203.2,5,35
"Mercedes-Benz","Mercedes-Benz M-Class ML 350 CDI Corporate","Coimbatore",2012,63888,"Diesel","Automatic","First",14,2987,224,5,22.58
"Hyundai","Hyundai Santa Fe 4WD AT","Bangalore",2015,59000,"Diesel","Automatic","First",13.01,2199,194.3,7,21
"Land","Land Rover Range Rover 2.2L Prestige","Coimbatore",2014,64557,"Diesel","Automatic","Second",12.7,2179,187.7,5,29.93
"Mini","Mini Cooper Countryman D High","Mumbai",2015,34000,"Diesel","Automatic","First",23.8,1998,112,5,22
"BMW","BMW X6 xDrive30d","Jaipur",2013,45306,"Diesel","Automatic","Second",11.2,2993,241,4,42.5
"Audi","Audi A6 3.0 TDI quattro","Bangalore",2011,50000,"Diesel","Automatic","Third",16.77,2967,241.38,5,21
"BMW","BMW X1 sDrive 20d Sportline","Delhi",2015,49000,"Diesel","Automatic","First",17.05,1995,184,5,22.99
"Land","Land Rover Range Rover Sport 2005 2012 HSE","Hyderabad",2010,45000,"Diesel","Automatic","First",14.7,2993,241.4,6,40
"BMW","BMW X5 xDrive 30d","Coimbatore",2016,17738,"Diesel","Automatic","First",15.3,2993,258,5,54.45
"Mercedes-Benz","Mercedes-Benz E-Class E 350 d","Coimbatore",2019,9312,"Diesel","Automatic","First",18,2987,258,5,78.8
"BMW","BMW X5 xDrive 30d M Sport","Chennai",2017,6500000,"Diesel","Automatic","First",15.97,2993,258,5,65
"Toyota","Toyota Fortuner 2.8 2WD AT","Ahmedabad",2016,88008,"Diesel","Automatic","Second",12.9,2755,174.5,7,22.5
"Mercedes-Benz","Mercedes-Benz GLA Class 200 d Sport","Mumbai",2018,10000,"Diesel","Automatic","First",17.9,2143,136,5,28.9
"Mercedes-Benz","Mercedes-Benz GLA Class 200 Sport Edition","Delhi",2016,23000,"Petrol","Automatic","First",13.7,1991,183,5,25
"Mercedes-Benz","Mercedes-Benz CLA 200 Sport Edition","Delhi",2016,25000,"Petrol","Automatic","First",15.04,1991,183,5,26
"Mini","Mini Cooper Convertible S","Chennai",2012,17000,"Petrol","Automatic","Second",16.82,1998,189.08,4,22
"Mini","Mini Cooper 3 DOOR S","Mumbai",2013,21000,"Petrol","Automatic","First",17.44,1998,189.08,4,21.5
"Mercedes-Benz","Mercedes-Benz M-Class ML 250 CDI","Coimbatore",2016,23218,"Diesel","Automatic","First",15.26,2143,203.2,5,45.61
"Ford","Ford Endeavour 2.2 Trend MT 4X4","Hyderabad",2016,107890,"Diesel","Manual","First",13.5,2198,157.7,7,20.5
"Volvo","Volvo XC90 2007-2015 D5 AWD","Kochi",2014,89230,"Diesel","Manual","First",11.1,2400,200,7,23.65
"Toyota","Toyota Fortuner 4x2 Manual","Jaipur",2015,59000,"Diesel","Manual","First",13,2982,168.5,7,23
"Mercedes-Benz","Mercedes-Benz B Class B200 CDI","Coimbatore",2017,43812,"Diesel","Automatic","First",15,2143,107.3,5,20.28
"Jaguar","Jaguar XJ 3.0L Portfolio","Delhi",2016,12000,"Diesel","Automatic","First",10.5,2993,271.23,4,79
"Mercedes-Benz","Mercedes-Benz New C-Class C 220d Avantgarde Edition C","Coimbatore",2018,23152,"Diesel","Automatic","First",19.27,2143,167.62,5,39.22
"Toyota","Toyota Camry Hybrid","Chennai",2016,29277,"Petrol","Automatic","First",19.16,2494,158.2,5,27
"BMW","BMW 5 Series 520d Luxury Line","Ahmedabad",2013,55000,"Diesel","Automatic","First",22.48,1995,190,5,21.75
"Mercedes-Benz","Mercedes-Benz GLC 220d 4MATIC Sport","Mumbai",2017,25000,"Diesel","Automatic","First",17.9,2143,170,5,45
"Toyota","Toyota Fortuner 2.8 2WD AT","Delhi",2017,40000,"Diesel","Automatic","First",12.9,2755,174.5,7,30
"BMW","BMW 3 Series 320d M Sport","Kochi",2017,23806,"Diesel","Automatic","First",22.69,1995,190,5,33.66
"Mercedes-Benz","Mercedes-Benz CLA 200 CDI Style","Coimbatore",2017,23106,"Diesel","Automatic","First",17.9,2143,136,5,27.43
"Jaguar","Jaguar XF 3.0 Litre S Premium Luxury","Kochi",2015,47759,"Diesel","Automatic","First",14.74,2993,270.9,5,31.8
"Audi","Audi A4 35 TDI Premium Sport","Chennai",2016,11000,"Diesel","Automatic","First",17.11,1968,174.33,5,28
"Mercedes-Benz","Mercedes-Benz New C-Class C 220d Avantgarde Edition C","Bangalore",2017,20149,"Diesel","Automatic","First",19.27,2143,167.62,5,38.5
"Audi","Audi Q7 3.0 TDI Quattro Premium Plus","Hyderabad",2012,79000,"Diesel","Automatic","First",12.07,2967,241.4,7,39
"Audi","Audi A4 35 TDI Premium","Coimbatore",2016,39644,"Diesel","Automatic","First",17.11,1968,174.33,5,25.75
"Mercedes-Benz","Mercedes-Benz E-Class E 220 d","Mumbai",2018,11000,"Diesel","Automatic","First",16.1,1950,194,5,56.5
"BMW","BMW 3 Series 320d Luxury Line","Mumbai",2014,18600,"Diesel","Automatic","Second",22.69,1995,190,5,21
"BMW","BMW 6 Series Gran Coupe","Delhi",2013,21000,"Diesel","Automatic","Second",17.54,2993,313,4,44
"BMW","BMW 5 Series 2013-2017 520d Luxury Line","Ahmedabad",2016,44001,"Diesel","Automatic","First",18.12,1995,190,5,34.51
"Land","Land Rover Discovery SE 3.0 TD6","Delhi",2016,59000,"Diesel","Automatic","First",18,2993,255,7,36.75
"Audi","Audi Q7 3.0 TDI quattro","Hyderabad",2011,98000,"Diesel","Automatic","First",12.07,2967,241.4,7,22
"Mercedes-Benz","Mercedes-Benz CLA 200 CDI Sport","Coimbatore",2017,20969,"Diesel","Automatic","First",17.9,2143,136,5,27.87
"Audi","Audi Q7 35 TDI Quattro Technology","Coimbatore",2016,28733,"Diesel","Automatic","Second",12.07,2967,241.4,7,53.11
"Mercedes-Benz","Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade","Kochi",2018,21603,"Diesel","Automatic","First",13,2987,265,5,70.15
"BMW","BMW X6 xDrive 40d M Sport","Chennai",2016,25000,"Diesel","Automatic","First",15.87,2993,308.43,5,60
"Audi","Audi A4 2.0 TDI Premium Sport Limited Edition","Coimbatore",2015,21979,"Diesel","Automatic","First",17.11,1968,174.33,5,23.45
"Jeep","Jeep Compass 2.0 Limited 4X4","Coimbatore",2018,48188,"Diesel","Manual","First",16.3,1956,170,5,21.69
"Toyota","Toyota Innova Crysta 2.8 ZX AT","Coimbatore",2017,65367,"Diesel","Automatic","First",11.36,2755,171.5,7,20.14
"Audi","Audi A4 2.0 TDI 177 Bhp Premium Plus","Coimbatore",2014,57773,"Diesel","Automatic","Second",17.11,1968,174.33,5,20.04
"Audi","Audi Q7 35 TDI Quattro Technology","Bangalore",2015,21000,"Diesel","Automatic","Second",12.07,2967,241.4,7,52.5
"Mini","Mini Cooper Convertible S","Mumbai",2016,15000,"Petrol","Automatic","First",16.82,1998,189.08,4,35
"BMW","BMW 5 Series 2013-2017 520d Luxury Line","Chennai",2016,30000,"Diesel","Automatic","Second",18.12,1995,190,5,31.5
"Audi","Audi Q5 2.0 TDI Technology","Hyderabad",2014,50000,"Diesel","Automatic","First",14.16,1968,174.3,5,35
"Porsche","Porsche Panamera Diesel","Kolkata",2015,25100,"Diesel","Automatic","First",17.85,2967,300,4,75
"Mercedes-Benz","Mercedes-Benz CLA 200 Sport Edition","Kochi",2017,24733,"Petrol","Automatic","First",15.04,1991,183,5,27.15
"Ford","Ford Endeavour 3.2 Trend AT 4X4","Coimbatore",2018,51530,"Diesel","Automatic","First",10.91,3198,197.2,7,30.27
"Mercedes-Benz","Mercedes-Benz E-Class 2015-2017 E250 Edition E","Ahmedabad",2016,39500,"Diesel","Automatic","First",15,2143,204,5,29.5
"Audi","Audi Q3 35 TDI Quattro Premium Plus","Bangalore",2015,51000,"Diesel","Automatic","First",15.17,1968,181,5,27.5
"Porsche","Porsche Panamera Diesel 250hp","Kochi",2014,60033,"Diesel","Automatic","First",18.18,2967,250,4,51.52
"Jaguar","Jaguar XF 2.2 Litre Luxury","Pune",2014,55001,"Diesel","Automatic","First",16.36,2179,187.7,5,31
"Mini","Mini Cooper Convertible S","Kochi",2017,20469,"Petrol","Automatic","First",16.82,1998,189.08,4,35.98
"Mercedes-Benz","Mercedes-Benz New C-Class C 220d Avantgarde Edition C","Coimbatore",2018,20604,"Diesel","Automatic","First",19.27,2143,167.62,5,39.62
"Mercedes-Benz","Mercedes-Benz GLE 350d","Coimbatore",2018,30706,"Diesel","Automatic","First",11.57,2987,254.79,5,59.29
"BMW","BMW 7 Series 730Ld Sedan","Coimbatore",2013,73525,"Diesel","Automatic","First",16.46,2993,258,5,34.54
"BMW","BMW X5 X5 M","Pune",2015,69002,"Diesel","Automatic","First",15.97,2993,258,5,50
"Mercedes-Benz","Mercedes-Benz GLE 350d","Mumbai",2017,19863,"Diesel","Automatic","First",11.57,2987,254.79,5,64.95
"BMW","BMW 3 Series 320d Sport Line","Pune",2018,24000,"Diesel","Automatic","First",18.88,1995,184,5,28
"BMW","BMW X3 xDrive20d xLine","Kochi",2017,36935,"Diesel","Automatic","First",18.56,1995,190,5,32.64
"BMW","BMW 5 Series 2013-2017 520d Luxury Line","Bangalore",2015,14000,"Diesel","Automatic","First",18.12,1995,190,5,35
"Audi","Audi Q7 35 TDI Quattro Premium Plus","Kochi",2016,72132,"Diesel","Automatic","Second",12.07,2967,241.4,7,39
"Toyota","Toyota Fortuner 2.8 2WD AT","Kochi",2019,21719,"Diesel","Automatic","First",12.9,2755,174.5,7,33.13
"Audi","Audi A6 2011-2015 2.0 TDI","Coimbatore",2013,70998,"Diesel","Automatic","First",17.68,1968,174.33,5,20.57
"Audi","Audi A6 35 TDI Matrix","Delhi",2014,56000,"Diesel","Automatic","First",18.53,1968,187.74,5,24
"Audi","Audi A6 35 TDI Matrix","Hyderabad",2014,62000,"Diesel","Automatic","First",18.53,1968,187.74,5,25
"Toyota","Toyota Fortuner 4x2 Manual","Jaipur",2014,69000,"Diesel","Manual","Second",13,2982,168.5,7,20
"Porsche","Porsche Panamera Diesel","Delhi",2013,48000,"Diesel","Automatic","Second",17.85,2967,300,4,50.5
"Audi","Audi A4 2.0 TDI Multitronic","Hyderabad",2014,53000,"Diesel","Automatic","First",16.55,1968,140,5,20.5
"Isuzu","Isuzu MUX 4WD","Jaipur",2017,34429,"Diesel","Automatic","First",13.8,2999,174.57,7,20
"Jaguar","Jaguar XJ 3.0L Portfolio","Hyderabad",2015,26000,"Diesel","Automatic","First",14.47,2993,301.73,5,75
"Jeep","Jeep Compass 2.0 Limited 4X4","Coimbatore",2019,6261,"Diesel","Manual","First",16.3,1956,170,5,23.91
"Land","Land Rover Range Rover HSE Dynamic","Kochi",2018,41661,"Diesel","Automatic","First",12.7,2179,187.7,5,44.83
"Jaguar","Jaguar XF 2.2 Litre Luxury","Chennai",2014,43000,"Diesel","Automatic","Second",16.36,2179,187.7,5,26.5
"Audi","Audi A6 2.7 TDI","Bangalore",2013,90000,"Diesel","Automatic","Second",12.4,2698,179.5,5,22.5
"Mercedes-Benz","Mercedes-Benz New C-Class C 220d Avantgarde Edition C","Coimbatore",2018,10714,"Diesel","Automatic","First",19.27,2143,167.62,5,39.51
"BMW","BMW 3 Series 320d Luxury Line","Kochi",2017,55389,"Diesel","Automatic","First",18.88,1995,184,5,28.45
"Porsche","Porsche Panamera 2010 2013 4S","Coimbatore",2010,42400,"Petrol","Automatic","Third",8,4806,394.3,4,42.91
"Toyota","Toyota Fortuner 4x2 Manual","Mumbai",2015,31000,"Diesel","Manual","First",13,2982,168.5,7,19.85
"BMW","BMW 5 Series 2013-2017 530d M Sport","Coimbatore",2016,19254,"Diesel","Automatic","First",14.69,2993,258,5,47.7
"Mini","Mini Cooper S Carbon Edition","Kolkata",2018,2971,"Petrol","Automatic","First",13.6,1598,181,4,39.75
"Toyota","Toyota Fortuner 3.0 Diesel","Hyderabad",2016,99593,"Diesel","Manual","First",11.5,2982,171,7,23.5
"Ford","Ford Endeavour 3.2 Titanium AT 4X4","Coimbatore",2017,61108,"Diesel","Automatic","First",10.91,3198,197,7,28.88
"BMW","BMW 3 Series 320d","Hyderabad",2013,48183,"Diesel","Automatic","First",13.2,1995,170,5,20.99
"Land","Land Rover Discovery Sport TD4 HSE","Coimbatore",2019,25899,"Diesel","Automatic","First",12.63,2179,147.5,5,55.7
"Mercedes-Benz","Mercedes-Benz New C-Class C 220 CDI Style","Hyderabad",2017,11200,"Diesel","Automatic","First",19.27,2143,167.62,5,37.5
"Mercedes-Benz","Mercedes-Benz GL-Class 350 CDI Blue Efficiency","Delhi",2016,16000,"Diesel","Automatic","First",11.3,2987,254.8,7,56
"Audi","Audi Q7 3.0 TDI Quattro Premium Plus","Coimbatore",2014,51076,"Diesel","Automatic","First",12.07,2967,241.4,7,34.88
"Audi","Audi A6 2011-2015 3.0 TDI Quattro Premium Plus","Pune",2012,50001,"Diesel","Automatic","First",14.57,2967,241.38,5,29
"Ford","Ford Endeavour 3.2 Titanium AT 4X4","Mumbai",2016,29000,"Diesel","Automatic","First",10.91,3198,197,7,29.8
"Audi","Audi Q5 2.0 TDI Premium Plus","Chennai",2013,44000,"Diesel","Automatic","First",14.16,1968,174.3,5,32.5
"Audi","Audi A7 2011-2015 Sportback","Kolkata",2012,24720,"Diesel","Automatic","Second",14.4,2967,241.4,5,28
"Mercedes-Benz","Mercedes-Benz E-Class E250 CDI Avantgrade","Kochi",2015,41057,"Diesel","Automatic","First",13,2143,201.1,5,24.63
"Ford","Ford Endeavour 3.2 Trend AT 4X4","Jaipur",2016,90000,"Diesel","Automatic","First",10.91,3198,197.2,7,26
"BMW","BMW X1 sDrive 20d Sportline","Hyderabad",2014,45000,"Diesel","Automatic","First",17.05,1995,184,5,21.5
"Mercedes-Benz","Mercedes-Benz E-Class E250 CDI Launch Edition","Chennai",2014,81000,"Diesel","Automatic","First",13,2143,204,5,22.75
"Jaguar","Jaguar XF Diesel","Coimbatore",2016,55115,"Diesel","Automatic","First",14.74,2993,270.9,5,36.15
"Jaguar","Jaguar XF 2.2 Litre Luxury","Kolkata",2014,18000,"Diesel","Automatic","First",16.36,2179,187.7,5,25.7
"Audi","Audi A4 2.0 TDI 177 Bhp Premium Plus","Coimbatore",2015,32205,"Diesel","Automatic","First",17.11,1968,174.33,5,25.31
"Audi","Audi A4 30 TFSI Premium Plus","Kochi",2017,61221,"Petrol","Automatic","First",17.84,1395,147.51,5,21.73
"Mini","Mini Cooper 5 DOOR D","Kochi",2019,14857,"Diesel","Automatic","First",20.7,1496,113.98,5,31.55
"Ford","Ford Endeavour Titanium 4X2","Coimbatore",2019,14648,"Diesel","Manual","First",12.62,2198,158,7,27.36
"Mercedes-Benz","Mercedes-Benz New C-Class C 220 CDI Avantgarde","Delhi",2015,15000,"Diesel","Automatic","First",19.27,2143,170,5,28.5
"Jaguar","Jaguar XF Diesel","Coimbatore",2014,82536,"Diesel","Automatic","First",14.74,2993,270.9,5,28.63
"Toyota","Toyota Fortuner 4x2 AT","Kochi",2015,47566,"Diesel","Automatic","First",12.55,2982,168.5,7,20.25
"Mini","Mini Cooper 3 DOOR D","Kochi",2015,27641,"Diesel","Automatic","Second",20.7,1496,113.98,4,24.77
"Ford","Ford Endeavour 3.2 Titanium AT 4X4","Chennai",2019,9000,"Diesel","Automatic","First",10.91,3198,197,7,35.5
"BMW","BMW 7 Series 730Ld Design Pure Excellence CBU","Kolkata",2012,41100,"Diesel","Automatic","First",16.77,2993,261.49,5,26.5
"Mercedes-Benz","Mercedes-Benz M-Class ML 350 4Matic","Coimbatore",2016,22769,"Diesel","Automatic","First",13.51,2987,165,5,49.22
"Land","Land Rover Range Rover 2.2L Dynamic","Pune",2015,52000,"Diesel","Automatic","First",12.7,2179,187.7,5,39.75
"Mercedes-Benz","Mercedes-Benz E-Class E250 CDI Avantgrade","Kochi",2015,59630,"Diesel","Automatic","First",13,2143,201.1,5,23.41
"Volvo","Volvo S60 D4 KINETIC","Ahmedabad",2015,34000,"Diesel","Automatic","First",9,1984,181,5,20
"Land","Land Rover Range Rover Vogue SE 4.4 SDV8","Bangalore",2012,63000,"Diesel","Automatic","Second",11.49,4367,335.3,5,65
